T,<M>,<|M|>,<E>,<M2>,chi,C,accept_pct
1.0000,0.999226,0.999226,-1.996990,0.998455,0.0017,0.0252,0.18
1.5000,0.986275,0.986275,-1.950313,0.972777,0.0267,0.1992,1.49
2.0000,0.908937,0.908937,-1.742792,0.827105,0.4804,0.7277,8.18
2.1000,0.874625,0.874625,-1.666518,0.766279,0.6389,0.9030,11.06
2.2000,-0.801150,0.801150,-1.551467,0.646416,2.1290,1.2862,15.12
2.2500,-0.663657,0.668146,-1.457660,0.492576,21.0066,2.1888,18.54
2.2690,0.687179,0.687180,-1.447766,0.491826,8.8500,1.6437,18.93
2.3000,-0.458824,0.470535,-1.347585,0.286254,28.8727,2.1536,22.57
2.4000,-0.388747,0.397112,-1.235149,0.193189,15.1427,1.4670,27.26
2.5000,-0.092437,0.229829,-1.104316,0.075821,9.4208,0.9642,32.43
3.0000,-0.009068,0.090249,-0.816045,0.012432,1.4635,0.3987,46.19
3.5000,0.002196,0.061961,-0.660016,0.005933,0.6125,0.2472,54.77
4.0000,-0.004500,0.049854,-0.556846,0.003987,0.3845,0.1776,60.96
