T,<M>,<|M|>,<E>,<M2>,chi,C,accept_pct
1.0000,0.835512,0.835512,-1.969840,0.751839,220.1968,4.7944,1.15
1.5000,0.266438,0.266438,-1.845518,0.072240,3.4170,0.5843,4.81
2.0000,-0.829849,0.829849,-1.722053,0.715202,54.3798,2.4696,9.47
2.1000,-0.740070,0.740070,-1.617251,0.568461,40.4863,2.4683,13.05
2.2000,-0.693286,0.693286,-1.516721,0.501998,39.7546,3.2746,16.85
2.2500,0.559853,0.559853,-1.436419,0.329083,28.4848,1.9469,19.60
2.2690,-0.250257,0.250257,-1.359342,0.069962,13.2387,1.0261,22.26
2.3000,0.212552,0.214525,-1.317708,0.063641,31.3778,1.1820,23.93
2.4000,0.038901,0.115028,-1.200785,0.019748,11.1210,1.2412,28.38
2.5000,-0.051928,0.117929,-1.109767,0.019200,8.6707,0.8751,32.17
3.0000,0.005124,0.044986,-0.816421,0.003170,1.5654,0.3602,46.19
3.5000,0.004734,0.032770,-0.661994,0.001641,0.6635,0.2558,54.74
4.0000,-0.001268,0.026309,-0.558575,0.001111,0.4284,0.1822,60.89
